start,start_value,end,end_value,pivot,pivot_value,u,u_value,segment,diff
1.1846683139437404,-0.6910926852520158,3,670,1.1870645763792287,-0.6944647512601927,1.189305954171091,-0.6974205637508168,1.8153316860562596,0.9985917565037283
1.1870645763792287,-0.6944647512601927,3,670,1.189305954171091,-0.6974205637508168,1.191401066097883,-0.7000077476192059,1.8129354236207713,0.9986799864433071
1.189305954171091,-0.6974205637508168,3,670,1.191401066097883,-0.7000077476192059,1.1933582393402355,-0.7022691983326421,1.810694045828909,0.9987636747770167
1.191401066097883,-0.7000077476192059,3,670,1.1933582393402355,-0.7022691983326421,1.1951854919792155,-0.7042434118115688,1.808598933902117,0.9988429232803752
1.1933582393402355,-0.7022691983326421,3,670,1.1951854919792155,-0.7042434118115688,1.19689052056864,-0.70596482035167,1.8066417606597645,0.9989178511577855
1.1951854919792155,-0.7042434118115688,3,670,1.19689052056864,-0.70596482035167,1.1984806921826139,-0.7074641266839992,1.8048145080207845,0.9989885916074958
1.19689052056864,-0.70596482035167,3,670,1.1984806921826139,-0.7074641266839992,1.199963040343146,-0.7087686300184721,1.80310947943136,0.9990552887391767
1.1984806921826139,-0.7074641266839992,3,670,1.199963040343146,-0.7087686300184721,1.2013442642871925,-0.7099025394821594,1.8015193078173861,0.9991180948067139
1.199963040343146,-0.7087686300184721,3,670,1.2013442642871925,-0.7099025394821594,1.2026307310678757,-0.7108872716730197,1.800036959656854,0.9991771677638426
1.2013442642871925,-0.7099025394821594,3,670,1.2026307310678757,-0.7108872716730197,1.203828480032538,-0.7117417301515698,1.7986557357128075,0.9992326691201331
1.2026307310678757,-0.7108872716730197,3,670,1.203828480032538,-0.7117417301515698,1.2049432292633497,-0.7124825655886511,1.7973692689321243,0.9992847620836273
1.203828480032538,-0.7117417301515698,3,670,1.2049432292633497,-0.7124825655886511,1.2059803836099288,-0.7131244160060084,1.796171519967462,0.9993336099679873
1.2049432292633497,-0.7124825655886511,3,670,1.2059803836099288,-0.7131244160060084,1.2069450439858607,-0.7136801271076068,1.7950567707366503,0.9993793748434271
1.2059803836099288,-0.7131244160060084,3,670,1.2069450439858607,-0.7136801271076068,1.2078420176399174,-0.7141609531255639,1.7940196163900712,0.9994222164092597
1.2069450439858607,-0.7136801271076068,3,670,1.2078420176399174,-0.7141609531255639,1.2086758291499065,-0.7145767389181419,1.7930549560141393,0.9994622910657616
1.2078420176399174,-0.7141609531255639,3,670,1.2086758291499065,-0.7145767389181419,1.2094507319217616,-0.7149360842764074,1.7921579823600826,0.9994997511643198
1.2086758291499065,-0.7145767389181419,3,670,1.2094507319217616,-0.7149360842764074,1.2101707200064111,-0.7152464915387062,1.7913241708500935,0.9995347444152825
1.2094507319217616,-0.7149360842764074,3,670,1.2101707200064111,-0.7152464915387062,1.210839540076256,-0.715514497694699,1.7905492680782384,0.9995674134338915
1.2101707200064111,-0.7152464915387062,3,670,1.210839540076256,-0.715514497694699,1.2114607034278297,-0.7157457921945416,1.7898292799935889,0.9995978954070209
1.210839540076256,-0.715514497694699,3,670,1.2114607034278297,-0.7157457921945416,1.2120374978993043,-0.7159453216768692,1.789160459923744,0.9996263218635874
1.2114607034278297,-0.7157457921945416,3,670,1.2120374978993043,-0.7159453216768692,1.212572999612576,-0.7161173828002072,1.7885392965721703,0.9996528185338948
1.2120374978993043,-0.7159453216768692,3,670,1.212572999612576,-0.7161173828002072,1.2130700844653843,-0.7162657043134826,1.7879625021006957,0.999677505284575
1.212572999612576,-0.7161173828002072,3,670,1.2130700844653843,-0.7162657043134826,1.2135314393159125,-0.716393519440095,1.787427000387424,0.9997004961163097
1.2130700844653843,-0.7162657043134826,3,670,1.2135314393159125,-0.716393519440095,1.2139595728141894,-0.7165036295794982,1.7869299155346157,0.999721899214513
1.2135314393159125,-0.716393519440095,3,670,1.2139595728141894,-0.7165036295794982,1.2143568258463189,-0.7165984602561455,1.7864685606840875,0.9997418170424496
1.2139595728141894,-0.7165036295794982,3,670,1.2143568258463189,-0.7165984602561455,1.214725381567744,-0.7166801101697504,1.7860404271858106,0.9997603464691743
1.2143568258463189,-0.7165984602561455,3,670,1.214725381567744,-0.7166801101697504,1.2150672750089333,-0.7167503941254889,1.7856431741536811,0.9997775789248201
1.214725381567744,-0.7166801101697504,3,670,1.2150672750089333,-0.7167503941254889,1.21538440224452,-0.7168108805502933,1.785274618432256,0.9997936005766663
